"X14","X15","X10","X17","X2","X16","X9","X11","X1","X5","X12","X7","X4","X3","X6"
87,19,9,6,2,1,2,1,0,1,0,0,0,0,0
237,65,14,10,0,0,4,0,0,2,0,0,0,0,0
31,12,3,2,1,1,0,0,0,1,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,3,3,0,0,0,0,0,1,0,0,0,0,0,0
167,76,54,19,5,7,0,1,1,0,0,0,0,0,0
17,4,1,1,1,0,0,0,0,0,1,0,0,0,0
5,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1,1,0,0,0,1,0,2,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
17,3,3,0,0,3,0,0,0,1,0,0,0,0,0
6,3,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,12,2,8,0,0,0,0,1,0,0,0,0,0,0
2,1,0,0,0,0,1,0,0,0,1,0,0,0,0
20,6,0,3,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,0,0,0,0,0,0,1,0,0,0,0,0,0
3,4,1,0,0,0,0,0,1,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,1,0,0,0,0
75,45,12,0,0,1,2,0,2,0,0,0,0,0,0
34,8,1,1,1,0,0,0,0,0,0,0,0,0,1
99,26,16,3,1,8,5,0,0,0,0,1,0,0,0
148,39,13,1,3,0,0,1,0,2,0,0,0,0,0
31,13,2,2,0,0,0,0,1,0,0,0,0,0,0
17,10,4,1,0,2,0,0,1,0,0,0,0,0,0
2,4,0,0,0,0,0,0,1,0,0,0,0,0,0
87,44,5,5,1,0,2,0,1,0,0,0,0,0,0
22,11,0,2,1,0,2,0,0,1,0,0,0,0,0
15,6,1,0,0,0,0,0,1,0,0,0,0,0,0
76,32,0,11,1,0,2,1,0,1,0,0,0,0,0
11,4,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1,2,1,0,0,0,0,1,0,0,0,0,0,0
27,10,1,1,0,0,0,0,0,1,0,0,0,0,0
24,6,1,1,1,0,0,0,0,1,0,0,0,0,0
10,5,1,1,0,0,0,0,0,1,0,0,0,0,0
28,5,0,2,0,0,0,0,0,0,1,0,0,0,0
29,5,0,3,1,0,0,0,0,1,0,0,0,0,0
6,5,2,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,1,1,0,1,0,0,1,0,0,0,0,0,0
9,1,1,0,0,1,0,0,1,0,0,0,0,0,0
13,7,0,1,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
290,45,21,53,0,6,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,18,3,1,2,1,2,2,1,0,0,0,0,0,0
12,8,0,0,2,0,0,0,1,0,0,0,0,0,0
100,20,5,4,2,2,1,0,0,0,0,0,1,0,0
2,3,0,0,0,0,0,0,1,0,0,0,0,0,0
9,5,2,1,0,0,0,0,0,1,0,0,0,0,0
69,24,12,12,1,3,1,0,1,0,0,0,0,0,0
121,31,7,4,1,3,3,1,1,0,0,0,0,0,0
120,19,4,10,0,2,0,0,1,0,0,0,0,0,0
11,7,2,1,0,0,0,0,0,0,0,0,0,0,1
35,14,3,3,0,2,2,1,3,0,0,0,0,0,0
16,8,0,0,0,0,0,0,0,1,0,0,0,0,0
551,158,40,50,5,2,8,4,3,0,0,0,0,0,0
61,5,2,3,1,0,1,0,0,0,1,0,0,0,0
75,13,2,3,0,0,0,0,0,0,0,0,0,1,0
28,7,4,4,0,2,0,0,0,0,0,0,0,1,0
8,7,2,1,0,0,0,0,0,0,1,0,0,0,0
8,6,1,0,0,0,0,0,0,1,0,0,0,0,0
8,5,0,0,0,0,0,0,0,0,1,0,0,0,0
52,20,3,3,3,0,0,0,1,0,0,0,0,0,0
88,12,9,4,0,2,3,0,0,0,0,1,0,0,0
53,16,3,1,0,0,0,1,1,0,0,0,0,0,0
15,6,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,8,4,1,0,0,0,0,1,0,0,0,0,0,0
189,53,3,12,1,0,0,0,1,0,0,0,0,0,0
4,3,0,0,1,0,0,0,1,0,0,0,0,0,0
8,2,1,0,1,0,0,0,0,0,0,0,0,1,0
0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
26,9,1,16,0,0,0,0,0,0,1,0,0,0,0
31,15,0,2,0,0,0,0,1,0,0,0,0,0,0
31,19,2,3,0,0,2,1,0,1,0,0,0,0,0
29,13,3,0,0,0,1,0,0,1,0,0,0,0,0
2,1,0,1,0,0,1,0,0,0,1,0,0,0,0
52,20,3,3,1,0,0,0,0,0,1,0,0,0,0
7,6,2,0,0,1,1,0,1,0,0,0,0,0,0
82,36,8,0,1,1,0,0,0,1,0,0,0,0,0
31,11,1,0,1,0,0,0,1,0,0,0,0,0,0
74,25,14,4,0,3,1,2,1,0,0,0,0,0,0
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,7,3,1,1,0,0,0,0,0,0,0,1,0,0
5,3,0,1,0,0,0,0,0,0,1,0,0,0,0
158,35,6,20,0,2,0,0,0,1,0,0,0,0,0
147,45,8,6,0,3,1,0,1,0,0,0,0,0,0
29,5,2,4,0,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,3,0,0,0,0,0,0,1,0,0,0,0,0,0
11,6,0,0,0,0,0,0,0,0,1,0,0,0,0
12,8,1,1,0,0,0,0,0,0,1,0,0,0,0
13,4,1,0,1,0,0,0,0,0,0,0,0,1,0
2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,9,3,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0,0,0,0,0,1,0
156,21,14,6,5,2,2,0,1,0,0,0,0,0,0
21,9,2,1,1,1,0,0,0,0,0,0,1,0,0
28,7,1,0,0,0,0,0,0,1,0,0,0,0,0
92,28,5,9,0,1,0,0,0,0,0,2,0,0,0
112,39,11,4,0,0,1,0,0,1,0,0,0,0,0
50,29,6,3,0,0,4,1,2,0,0,0,0,0,0
87,28,12,4,0,4,3,1,1,0,0,0,0,0,0
48,11,0,2,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10,5,1,0,3,0,1,0,1,0,0,0,0,0,0
58,15,7,5,1,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,37,11,1,3,8,2,0,0,1,0,0,0,0,0
19,4,1,2,0,1,0,0,1,0,0,0,0,0,0
0,3,1,0,0,0,0,0,0,1,0,0,0,0,0
42,12,6,6,2,1,0,0,0,0,0,1,0,0,0
76,11,3,8,1,1,0,0,0,0,0,0,1,0,0
8,5,0,0,0,0,0,0,1,0,0,0,0,0,0
31,3,0,0,0,0,0,0,0,1,0,0,0,0,0
55,15,4,2,3,3,0,1,1,0,0,0,0,0,0
83,21,5,7,2,0,1,0,0,0,1,0,0,0,0
4,6,0,0,0,0,0,0,0,0,0,0,1,0,0
107,28,3,3,1,2,1,1,0,0,0,0,0,1,0
80,15,8,3,0,0,2,1,1,0,0,0,0,0,0
29,11,3,1,2,2,1,0,0,1,0,0,0,0,0
11,6,3,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,4,4,3,1,3,0,0,1,0,0,0,0,0,0
7,2,0,1,0,0,0,0,0,0,0,0,1,0,0
81,39,6,12,2,2,4,1,0,0,1,0,0,0,0
27,11,1,1,2,1,1,0,1,0,0,0,0,0,0
7,4,1,0,0,1,0,0,1,0,0,0,0,0,0
88,18,8,12,1,3,3,0,2,0,0,0,0,0,0
129,46,11,18,1,3,0,2,1,0,0,0,0,0,0
252,64,19,14,1,1,1,1,0,0,1,0,0,0,0
62,24,6,6,0,2,1,0,0,1,0,0,0,0,0
64,18,6,0,1,0,5,0,1,0,0,0,0,0,0
23,0,3,1,0,0,1,0,1,0,0,0,0,0,0
41,17,2,2,0,1,0,0,0,1,0,0,0,0,0
8,3,0,1,0,0,1,0,0,1,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,1,0,0,0
14,3,0,1,0,0,0,0,0,0,0,0,1,0,0
11,7,0,0,0,0,1,0,1,0,0,0,0,0,0
73,29,9,13,2,1,2,0,0,1,0,0,0,0,0
15,6,2,3,1,2,0,0,0,1,0,0,0,0,0
156,37,34,17,5,6,4,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
47,11,12,1,2,2,1,0,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16,9,3,2,0,0,0,1,1,0,0,0,0,0,0
2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
230,67,40,15,0,3,5,4,0,0,0,0,1,0,0
19,5,2,2,0,2,0,0,1,0,0,0,0,0,0
2,3,0,0,0,0,0,0,1,0,0,0,0,0,0
41,14,0,6,2,0,1,0,0,1,0,0,0,0,0
57,18,11,5,0,4,0,0,1,0,0,0,0,0,0
10,7,0,1,0,0,0,0,0,0,0,0,1,0,0
191,20,12,7,0,10,1,1,0,0,0,0,0,0,1
3,1,1,0,1,1,0,0,1,0,0,0,0,0,0
62,8,4,3,1,0,0,1,1,0,0,0,0,0,0
6,0,1,0,0,0,0,0,1,0,0,0,0,0,0
14,12,1,0,0,0,0,1,1,0,0,0,0,0,0
110,50,2,2,2,0,0,0,1,0,0,0,0,0,0
34,11,2,3,0,0,0,0,0,0,1,0,0,0,0
6,2,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,7,0,2,0,0,2,0,0,1,0,0,0,0,0
1,3,1,1,0,0,0,0,0,1,0,0,0,0,0
44,5,2,1,1,0,0,0,0,1,0,0,0,0,0
1,3,0,0,0,0,0,0,0,1,0,0,0,0,0
21,8,0,2,0,0,1,0,0,0,1,0,0,0,0
21,4,1,0,0,2,0,0,0,0,0,0,1,0,0
7,4,1,0,0,1,0,0,1,0,0,0,0,0,0
12,5,0,1,0,0,0,1,1,0,0,0,0,0,0
14,5,1,1,0,1,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,0,0,1,0,0,0,0,0,0
24,19,4,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,1,0,0,0,0
17,0,2,5,0,0,0,0,0,1,0,0,0,0,0
10,7,4,0,0,2,0,0,1,0,0,0,0,0,0
6,2,1,1,0,1,0,0,0,0,0,0,0,0,0
6,2,3,1,0,2,0,0,0,0,0,1,0,0,0
42,16,2,3,0,0,1,1,0,1,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
100,29,5,0,1,1,1,1,0,0,0,0,1,0,0
47,7,10,3,0,3,1,0,1,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,1,0,0,0,0
180,24,11,9,2,5,0,0,1,0,0,0,0,0,0
96,21,1,5,2,0,1,0,0,1,0,0,0,0,0
3,4,0,0,0,0,0,0,0,0,1,0,0,0,0
16,5,1,1,0,1,0,0,0,0,0,1,0,0,0
3,3,2,0,0,2,0,0,1,0,0,0,0,0,0
0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
36,2,2,2,0,0,0,0,0,1,0,0,0,0,0
31,13,8,1,0,0,0,0,0,0,1,0,0,0,0
10,0,1,1,0,0,0,0,0,0,0,1,0,0,0
106,25,10,3,1,2,0,0,2,0,0,0,0,0,0
34,10,5,2,1,1,2,0,1,0,0,0,0,0,0
24,5,0,0,0,0,0,0,1,0,0,0,0,0,0
13,11,2,0,0,1,0,0,0,1,0,0,0,0,0
113,16,4,8,0,2,3,2,0,1,0,0,0,0,0
11,1,0,1,1,0,0,0,0,0,0,1,0,0,0
26,12,7,2,2,1,3,0,0,0,1,0,0,0,0
13,5,2,1,0,0,1,0,0,0,1,0,0,0,0
8,6,0,3,0,0,0,0,0,1,0,0,0,0,0
421,116,54,16,0,6,1,5,1,0,0,0,0,0,0
64,34,6,6,0,0,0,0,0,2,0,0,0,0,0
12,7,0,0,0,0,0,0,1,0,0,0,0,0,0
110,12,7,11,2,0,1,0,0,0,0,1,0,0,0
44,8,3,7,0,1,0,1,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
121,33,14,4,0,1,1,0,2,0,0,0,0,0,0
114,29,5,18,3,1,1,2,1,0,0,0,0,0,0
5,2,0,1,0,0,0,0,0,2,0,0,0,0,0
10,12,1,0,0,0,1,0,0,0,0,0,1,0,0
54,11,5,4,0,2,3,0,0,0,0,1,0,0,0
16,9,1,2,0,1,0,0,0,0,0,0,1,0,0
4,1,0,0,0,0,0,0,0,0,0,1,0,0,0
41,16,0,2,0,0,0,0,1,0,0,0,0,0,0
23,6,2,0,1,0,0,1,0,1,0,0,0,0,0
83,23,19,9,5,3,0,0,1,0,0,0,0,0,0
3,1,0,1,0,0,0,0,1,0,0,0,0,0,0
